Category,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
Beverages,14201,0,0,0,0,0,1,0,0,0,0.222,0.1,0,0,0.1,0,0,99.3,0,0.002,0.002,0,2,0.007,0.05,5,1,54,2,0.02,0,0,0,0,0,0.1
Beverages,14202,0,0,0,1.69,0,1,0,0,0,5.207,0.1,0,0.177,0,0,0.001,97.8,0,0.092,0.092,0.18,2,0.05,0.13,80,7,115,14,0.05,0,0,0.002,0.2,0,0.1
Beverages,14203,0,0,0,73.18,0,101.9,0,0,0,28.173,14.42,0,0.074,12.6,0,0.008,3.1,0.041,0.196,0.197,0.5,141,0.139,4.41,327,303,3535,37,0.35,0,0,0.029,0,0,1.9
Beverages,14204,0,2,0,71.4,0,16.8,4.8,6,0,4.655,9,0,0.109,4,34.98,0.021,3.1,0.954,0.349,11.376,13.21,60,0.56,3.06,122,451,1856,500,1.01,0,0,0.03,0,0.09,1.7
Beverages,14206,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,5.32,0,93.54,0,0,0,0.22,1,0.005,0,0,31,12,21,0.01,0,0,0,0,0,0
Beverages,14207,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,99.55,0,0,0,0,0,0.005,0,0,0,37,1,0.01,0,0,0,0,0,0
Beverages,14209,0,0,0,0,0,2.6,0,0,0,0.191,0.12,0,0.076,0,0,0.014,99.39,0.015,0.001,0.002,0.02,2,0.002,0.01,3,3,49,2,0.02,0,0,0.001,0,0.01,0.1
Beverages,14210,0,0,0,1.67,0,2.6,0,0,0,5.207,0.12,0,0.177,0,0,0.001,97.8,0,0.092,0.092,0.18,2,0.05,0.13,80,7,115,14,0.05,0,0,0.002,0.2,0.01,0.1
Beverages,14211,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,99.72,0,0,0,0,0,0.005,0,0,33,14,17,0,0,0,0,0,0,0
Beverages,14214,0,0,0,75.4,0,101.9,0,0,0,28.173,12.2,0,0.074,12.6,0,0.008,3.1,0.041,0.196,0.197,0.5,141,0.139,4.41,327,303,3535,37,0.35,0,0,0.029,0,0,1.9
Beverages,14216,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,3.75,0,96.23,0,0,0,0,8,0,0.15,0,0,0,8,0,0,0,0,3.8,0,0
Beverages,14218,0,0,0,76,0,101.9,0,0,0,28.075,11.6,0,1.36,17.3,0,0,3.2,0.021,0.101,0.101,0.2,140,0.069,3.8,311,286,3501,23,0.11,0,0,0,0,0,1.9
Beverages,14224,0,2,0,74.04,0,31.3,1.9,4,0,2.263,5.29,0,0.028,6.2,58.2,0.031,1.7,8.934,1.053,4.934,15.87,271,0.435,0,68,251,1033,317,0.96,1,0.45,0.055,0.6,0,1.5
Beverages,14236,0,5,0,78.42,0,13.4,23.3,194,0,17.664,6.01,0,0.095,64.1,4.63,0.413,7.99,0.356,1.225,0.603,2.52,58,0.208,4.6,244,580,2443,83,0.51,0,0,0.747,0,0.98,1.6
Beverages,14237,0,0,0,1.3,0,0.2,0.4,3,0,0.294,0.1,0,0.002,1.1,0.08,0.007,98.37,0.006,0.02,0.01,0.04,4,0.013,0.08,5,10,41,5,0.01,0,0,0.012,0,0.02,0
Alcoholic beverage,14239,0,0,0,10.07,0,4.4,0,1,0,0.225,0,0,0.01,0.3,9.77,0.006,85.74,0,0,0,0,4,0.008,0.03,4,7,27,5,0.01,0,0.01,0.022,2.8,0.02,0
Cranberry juice cocktail,14242,0,5,0,13.52,0,1.1,0,13,0,0.041,0,0,0,0.2,11.87,0,86.17,0.019,0.059,0.009,0.1,3,0.01,0.1,1,1,14,2,0.03,0,0,0,42.3,0.22,1
Beverages,14247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.89,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Alcoholic beverage,14248,0,0,0,0.77,0,8.8,0,0,0,0.391,0.25,0,0.015,0.4,0.09,0.005,92.88,0,0,0,0,4,0.006,0.03,5,12,21,4,0.01,0,0.02,0.034,0,0,0
Beverages,14250,0,14,5,5.92,0,1.7,0,15,0,0.045,0,0,0.013,0,5.92,0.009,89,0,0,0,0,4,0.018,0.06,3,6,54,4,0.02,1,0,0.021,2.3,0.09,1.1
Alcoholic beverages,14251,0,0,0,0.27,0,10.1,0,0,0,1.1,0.9,0,0.09,0.6,0,0.03,91,0,0,0,0,8,0.008,0.03,12,32,62,4,0.01,0,0.02,0.09,0,0,0
Alcoholic beverages,14253,0,0,0,3.8,0,0,0,0,0,0.09,0.36,0,0.015,0.2,3.8,0.02,86.4,0,0,0,0,10,0.005,0.2,10,18,59,5,0.11,0,0.01,0.037,0,0,0
Beverages,14260,0,0,0,0,0,0,0,0,0,0.03,0,0,0.058,0,0,0.007,99.93,0,0,0,0,0,0.005,0,1,0,15,0,0.01,0,0,0.005,0,0,0
Beverages,14261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.88,0,0,0,0,1,0.005,0,0,26,19,7,0.01,0,0,0,0,0,0
Beverages,14262,6,27,97,40.2,0,1.8,0.2,93,0,0.263,1.2,0,0.034,0.4,28.63,0.051,57.4,0.007,0.015,0.007,0.1,25,0.097,3.94,20,36,393,3,0.12,7,0,0.066,95.3,0.22,0.2
Beverages,14267,0,14,4,11.94,0,0.5,0.2,2,1,0.021,0,0,0.023,0.2,11.29,0.005,87.97,0.002,0.003,0,0,8,0.01,0.09,3,3,31,38,0.01,2,0,0.011,29.6,0.01,0
Beverages,14270,0,0,0,86.28,0,0,0,0,0,0,0,0,0,0,66.67,0,0.16,0,0,13.333,13.33,0,0,0,0,0,57,333,0,0,0,0,0,0,0
Beverages,14276,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5,0,97.49,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
Beverages,14278,0,0,0,0,0,0,0,0,0,0.03,0.22,0,0.058,0,0,0.007,99.93,0,0,0,0,0,0.004,0.02,1,0,8,1,0.01,0,0,0.005,0,0,0
Beverages,14280,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,99.14,0,0,0,0,11,0.008,0,2,4,27,4,0.01,0,0,0,0,0,0
Beverages,14281,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,7.92,0,91.22,0,0,0,0,11,0.008,0,2,4,27,8,0.01,0,0,0,0,0,0
Lemonade,14292,0,0,0,49.89,0,2,0.3,4,0,0.11,0.22,0,0,0.4,44.46,0.02,49.06,0.008,0.059,0.025,0.7,7,0.013,0.09,7,7,72,7,0.04,0,0,0.02,13.1,0.09,0.2
Beverages,14296,0,0,0,97.9,0,0.1,0,0,0,0,0,0,0.011,0.3,97.15,0.002,0.52,0.129,0.531,0.183,1.01,11,0.025,0.17,165,99,39,130,0.03,0,0,0,40.6,0.08,1.9
Malt beverage,14305,0,0,0,8.05,0,10.1,0,0,0,1.113,0.21,0,0.048,1.2,8.05,0.016,91.15,0.015,0.056,0.024,0.12,7,0.008,0.06,7,16,8,13,0.02,0,0.02,0.027,0.5,0,0
Beverages,14311,0,11,0,71.21,24,58.7,0.1,7,0,5.246,14.29,62,0.92,16.4,47.62,0.505,2,2.157,1.429,4.762,9.52,298,0.2,0.7,93,358,758,405,0.99,63,0.8,0.41,2.9,0.36,5.4
Beverages,14315,0,0,0,92.96,0,0,0,0,0,18.182,0,1365,0,0,72.73,1.364,1.28,0,0,0,0,909,1.818,16.36,218,0,0,530,13.64,1365,0,1.818,54.5,12.27,0
Shake,14347,0,0,0,19.59,23,27.3,0.9,0,0,0.213,3.37,91,0.66,3.2,13.63,0.026,69.65,1.785,0.316,3.962,6.52,115,0.103,0.46,13,98,166,81,0.57,91,0.22,0.06,0,0.25,0.4
Strawberry-flavor beverage mix,14350,0,0,0,99.1,0,0.1,0,0,0,0.073,0.1,0,0.11,0.5,95.45,0.003,0.4,0,0,0,0.2,4,0,0.44,1,5,6,38,0,0,0,0.002,0.3,0,0
Beverages,14352,0,0,0,0.3,0,0.4,0,0,0,0,0,0,0.014,0,0,0,99.7,0.001,0.004,0.002,0,0,0.01,0.02,3,1,37,3,0.02,0,0,0,0,0,0
Beverages,14353,0,0,0,58.66,0,118.3,8.5,0,0,10.8,20.21,0,0.985,5.3,5.53,0,5.09,0,0,0,0,118,0.55,2.26,272,239,6040,72,1.69,0,0,0.356,0,0,0
Beverages,14355,0,0,0,0.3,0,0.4,0,0,0,0,0,0,0.014,0,0,0,99.7,0.001,0.004,0.002,0,0,0.01,0.02,3,1,37,3,0.02,0,0,0,0,0,0
Beverages,14356,0,0,0,85.4,0,40.2,0,0,0,3.88,3.3,0,0.335,1.8,1.88,0,3.5,0,0,0,0.6,21,0.12,8.87,125,140,2568,412,0.89,0,0,0.121,0,0,0
Beverages,14366,0,0,0,58.66,0,118.3,8.5,0,0,10.8,20.21,0,0.985,5.3,5.53,0,5.09,0,0,0,0,118,0.55,2.26,272,239,6040,72,1.69,0,0,0.356,0,0,0
Beverages,14368,0,0,0,78.52,0,66.4,5,0,0,6.168,7.4,0,0.558,3,4.52,0.017,4.3,0.012,0.117,0.047,0.18,28,0.331,0.75,139,107,3453,55,0.98,0,0,0.223,0,0.09,0
Beverages,14370,0,0,0,98.55,0,1.1,0.7,0,0,0.125,0.12,0,0,0.6,95.29,0.011,0.13,0.033,0.218,0.097,0.73,2,0.01,0.21,3,2,169,5,0.03,0,0,0.015,0,0,0
Beverages,14376,0,0,0,0.44,0,0.2,0,0,0,0.02,0.02,0,0.002,0,0.01,0,99.41,0,0,0,0,3,0.01,0.05,2,1,14,6,0.01,0,0,0.001,0,0,0
Beverages,14381,0,0,0,0.2,0,0.4,0,0,0,0,0,0,0.004,0,0,0.01,99.7,0.001,0.005,0.002,0,2,0.015,0.08,1,0,9,1,0.04,0,0,0,0,0,0
Beverages,14407,0,0,1,98.94,0,0.1,0.4,1,0,8,0,599,0.68,0.5,92.31,0.001,0.14,0,0,0,0,385,0.013,0.02,0,151,190,17,0.01,599,0,0.8,230.8,0,0
Beverages,14411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9,0,0,0,0,3,0.01,0,1,0,0,4,0.01,0,0,0,0,0,0
Alcoholic beverage,14414,0,0,0,46.8,0,0.8,0,0,0,0.144,0.1,0,0.012,0.4,38.3,0.004,31,0.022,0.105,0.106,0.3,1,0.04,0.06,3,6,30,8,0.03,0,0,0,0,0,0
Alcoholic beverage,14415,0,30,0,20.9,58,8.1,0,0,0,0.078,2.8,171,0.057,0.4,19.76,0.011,46.5,4.458,0.669,9.664,15.7,16,0.04,0.13,2,50,32,92,0.16,173,0.08,0.011,0.2,0.45,1.3
Beverages,14416,0,0,0,0.29,0,0,0,0,0,0,0.11,0,0.023,0,0,0.005,99.54,0,0,0,0.03,3,0.002,0.11,1,9,8,8,0.01,0,0,0,0,0,0
Beverages,14429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9,0,0,0,0,3,0.009,0,1,0,1,3,0,0,0,0,0,0,0
Beverages,14436,0,219,62,13.2,0,0.5,0.1,8,0,0.09,0,0,0.01,0,8.02,0.12,85.4,0,0,0,0,100,0.027,0.05,5,7,83,54,0.05,21,0,0.02,24,0.04,0
Beverages,14460,0,0,0,6.43,0,0,0,0,0,0.22,0,0,0,0,5.24,0.011,93.38,0,0,0,0,1,0.006,0.05,0,10,15,39,0.01,0,0,0.022,0.4,0,0.2
Beverages,14461,0,0,0,7.84,0,0,0,0,0,1.565,0,0,0,0,6.11,0.011,91.91,0.011,0.028,0.008,0.05,1,0,0.09,0,1,18,42,0.01,0,0.91,0.153,0,0,0
Beverages,14462,0,0,0,1.14,0,0,0,0,0,4.095,0,0,0,0,0,0,98.78,0,0,0,0,1,0,0.03,0,25,16,33,0,0,0,0.556,8.8,1.67,0
Beverages,14545,0,12,0,0.2,0,0,0,0,0,0,0,0,0.004,0,0,0.01,99.7,0.001,0.005,0.002,0,2,0.015,0.08,1,0,9,1,0.04,1,0,0,0,0,0
Carbonated beverage,14552,0,0,0,10.7,0,0.3,0,0,0,0,0,0,0,0.1,10.7,0,89.2,0,0,0,0,4,0.013,0.1,1,1,50,4,0.16,0,0,0,0,0,0
Beverages,14553,0,0,0,1.1,0,5,0,0,0,0.1,0.5,0,0.01,0.2,1.1,0,98.2,0,0,0,0,9,0.011,0.4,10,15,88,7,0.08,0,0,0.02,0,0,0
Water,14555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.98,0,0,0,0,10,0.007,0,2,0,0,2,0,0,0,0,0,0,0
Beverages,14557,0,0,0,90.28,0,3.3,4.5,0,0,0.199,4.55,0,0.056,1.9,81.82,0.009,1.1,0,0,2.273,2.27,455,0.909,0,53,86,280,136,6.82,0,0,0.909,27.3,0.04,0.9
Beverages,14599,0,0,0,0,0,0,0,0,0,0.845,0,0,0,0,0,0.011,99.89,0,0,0,0,2,0.006,0.05,1,0,10,42,0.01,0,0.17,0.056,2.5,0.57,0.2
Water,14604,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,99.85,0,0,0,0,1,0,0,0,0,4,14,0,0,0,0,0,0,0
Beverages,14605,0,0,0,5.49,0,0,0,0,0,0.844,0,32,0,0,5.49,0,94.44,0,0,0,0,17,0.007,0,3,0,0,0,0.32,32,0.25,0.084,12.7,1.9,0
Beverages,14625,0,0,0,12.08,0,0.3,0,0,0,2,0.25,0,0.34,0.2,12.08,0.025,87.3,0,0,0,0.08,13,0.005,0.02,3,17,3,27,0,0,0.6,0.2,0,0,0
Beverages,14626,0,0,0,12.08,0,0.3,0,0,0,1.667,0.25,0,0,0.2,12.08,0.025,87.3,0,0,0,0.08,13,0.005,0.02,3,0,3,35,0,0,0.25,0.167,0,0,0
Beverages,14627,0,0,0,11.28,0,0,0,0,0,10.16,0.47,0,0.81,0,10.93,0.04,88.05,0,0,0,0,0,0.002,0.04,0,0,2,77,0.01,0,2.57,1.01,0,0,0
Beverages,14628,0,0,0,1.03,0,0,0,0,0,0.833,0,0,0.142,0.2,0,0,98.35,0,0,0,0,0,0.005,0,3,17,2,31,0,0,0.25,0.083,0,0,0
Beverages,14629,0,0,0,12.7,0,0.3,0,0,0,9.82,0.34,0,1.6,0,12.26,0,87.08,0,0,0,0.22,1,0,0.05,0,0,6,16,0.05,0,3.77,1.353,0,0,0
Beverages,14630,0,0,0,0.7,0,0,0,0,0,8.333,0.25,0,1.417,0.2,0,0.025,98.35,0,0,0,0.08,13,0.005,0.02,3,0,3,52,0,0,2.5,0.833,0,0,0
Beverages,14633,3,1253,0,1.1,0,0.2,0,2,144,0.013,0,0,0.001,0,0.63,0.001,98.78,0,0,0,0,8,0.012,0.3,1,1,24,14,0.01,105,0,0.004,25.1,1.13,0.1
Beverages,14634,0,4,0,12.08,8,15.1,0.4,0,0,0.085,3.05,51,0.172,2.3,11.4,0.036,82.32,0.47,0.075,1.124,1.83,164,0.006,0.03,10,85,130,49,0.45,51,0.49,0.035,0.2,0.03,0.2
Beverages,14635,1,427,0,11.15,0,0.2,0,2,144,0.013,0.3,0,0.001,0,10.37,0.001,88.4,0,0,0,0.01,8,0.012,0.31,7,1,101,29,0.01,36,0,0.016,28.5,0.87,0.1
Beverages,14636,0,0,0,10,0,0.5,0,0,0,0.015,0,0,0,0.2,9,0,87.58,0.012,0.014,0.008,0.07,5,0,0.04,2,1,11,2,0.02,0,0,0,0,0.68,0
Water,14637,0,0,0,4.5,0,0,0,0,0,0.844,0,32,0,0,4.5,0,94.44,0,0,0,0,17,0.007,0,3,0,0,8,0.32,32,0.25,0.084,12.7,1.9,0
Beverages,14639,0,0,0,9.17,0,2.1,0.3,0,0,0.39,0.28,63,0.142,2.2,5.28,0.027,89.28,0.625,0.313,0,0.97,118,0.037,0.2,11,56,27,39,0.13,63,0.63,0.039,0,0.47,0.2
Beverages,14640,0,0,0,12.99,0,0.3,0,0,0,0.015,0,0,0,0.2,12.99,0.025,86.73,0,0,0,0,2,0.005,0.02,3,0,3,12,0,0,0,0,0,0,0
Beverages,14641,0,0,0,0.7,0,0.3,0,0,0,0.015,0.25,0,0,0.2,0,0.025,98.35,0,0,0,0.08,2,0.005,0.02,3,0,3,14,0,0,0,0,0,0,0
Beverages,14644,0,0,0,1.94,0,0,0,0,0,0,0.05,0,0,0,1.3,0,97.94,0,0,0,0.01,0,0,0,0,7,13,45,0,0,0,0,0,0,0.2
Beverages,14645,0,0,0,16.03,0,0,0,0,0,0,0,0,0,0,15.85,0,83.87,0,0,0,0,3,0.009,0,1,0,31,36,0,0,0,0,0,0,0
Beverages,14646,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,5,0,93.2,0,0,0,0,3,0.009,0,1,0,31,36,0,0,0,0,25,0,0
Beverages,14648,0,0,0,13.16,0,1.8,0.1,16,0,0.036,0.13,5,0.014,0.1,12.11,0.095,86.39,0,0,0,0,3,0.013,0.25,5,7,122,61,0.04,5,0,0.032,25.4,0.05,0
Beverages,14649,0,0,0,0,0,0.4,0,0,0,0.04,0,0,0,0,0,0,99.58,0,0,0,0,8,0,0.08,3,1,20,4,0.04,0,0,0,0,0,0
Beverages,14651,0,0,0,11.35,0,1.8,0.1,16,0,0.036,0.13,5,0.014,0.1,10.69,0.003,88.1,0.002,0.03,0.017,0.11,3,0.013,0.25,5,7,122,8,0.04,5,0,0.032,25,0.05,0
Beverages,14654,0,0,0,20.38,0,179.7,0,0,0,25,53.57,1875,2.125,87.5,3.57,2.143,8.3,2.907,7.268,0,10.71,714,2.5,22.5,500,1429,1000,1214,18.75,1875,6.43,2.5,75,16.88,125
Fish,15002,0,0,0,0,85,85,0,0,0,19.903,28.89,12,0.363,68.1,0,0.078,50.3,3.77,2.562,2.203,9.71,232,0.339,4.63,69,252,544,3668,2.44,12,0.88,0.203,0,3.33,12.1
Fish,15008,0,0,0,0,66,65,0,0,0,1.64,17.83,9,0.055,12.6,0,0.115,76.31,2.328,1.431,1.083,5.6,41,0.057,1.24,29,415,333,49,1.48,9,1.53,0.19,1.6,0.63,0.1
Fish,15012,0,0,0,4,588,490.9,0,648,0,0.12,24.6,271,0.62,65.5,0,0.19,47.5,4.631,7.405,4.06,17.9,275,0.11,11.88,300,356,181,1500,0.95,271,20,0.32,0,1.89,0.6
Fish,15016,0,0,0,0,55,83.7,0,0,0,2.513,22.83,14,0.079,37.6,0,0.088,75.92,0.124,0.292,0.168,0.86,14,0.036,0.49,42,138,244,78,0.58,14,1.05,0.283,1,0.81,0.1
Fish,15017,0,0,0,0,55,85,0,0,0,2.505,22.76,14,0.079,38.1,0,0.087,75.61,0.124,0.291,0.167,0.86,21,0.037,0.49,41,260,528,218,0.58,14,1.05,0.282,1,0.82,0.1
Fish,15018,0,0,0,0,152,291.3,0,0,0,7.5,62.82,42,0.24,147.8,0,0.268,16.14,0.342,0.804,0.462,2.37,160,0.176,2.5,133,950,1458,7027,1.59,42,10,0.864,3.5,2.84,0.4
Fish,15019,0,0,0,0,47,65,0,0,0,1.095,15.27,2,0.045,22.9,0,0.033,83.95,0.073,0.164,0.085,0.41,8,0.019,0.16,20,281,235,109,0.31,2,1.98,0.117,0,0.54,0
Fish,15020,0,0,0,0,61,67,0,0,0,4.2,17.78,12,0.095,36.5,0,0.075,78.03,1.149,0.464,1.088,3.17,15,0.042,0.37,40,210,345,56,0.42,12,2.5,0.3,0,1.29,0.1
Fish,15025,0,0,0,0,126,65,0,0,0,3.5,18.44,1043,0.04,6.5,0,0.15,68.26,7.19,0.947,2.358,11.66,20,0.023,0.5,20,216,272,51,1.62,1043,3,0.067,1.8,4,0
Fish,15027,0,3,2,21.66,28,42.8,1.5,42,0,1.536,11.01,3,0.116,15.7,1.65,0.122,49.5,3.193,7.824,3.733,16.23,16,0.059,0.84,25,191,185,402,0.42,4,0.96,0.078,0,6.88,4.7
Fish,15028,0,0,0,0,45,65,0,0,0,1.04,12.41,10,0.02,26.6,0,0.022,84.63,0.535,0.374,0.441,1.93,21,0.019,0.18,18,252,160,81,0.32,10,1.13,0.098,0,0.63,0.1
Fish,15033,0,0,0,0,54,65,0,0,0,3.36,16.3,17,0.057,25.9,0,0.02,83.4,0.057,0.163,0.093,0.45,11,0.021,0.17,21,227,286,68,0.32,17,1.83,0.281,0,0.45,0.1
Fish,15035,0,0,0,0,77,92.3,0,0,0,5.073,25.23,24,0.049,42.9,0,0.047,71.48,0.157,0.321,0.173,0.96,49,0.042,1.4,54,251,415,763,0.5,24,1.6,0.4,0,0.55,0.1
Fish,15036,0,0,0,0,49,61.8,0,0,0,6.513,18.56,20,0.03,45.6,0,0.05,80.34,0.471,0.29,0.292,1.33,7,0.023,0.16,23,236,435,68,0.36,20,1.1,0.548,0,0.61,0
Fish,15039,0,0,0,0,60,65,0,0,0,3.217,17.96,28,0.233,36.5,0,0.092,72.05,3.736,2.133,2.04,9.04,57,0.092,1.1,32,236,327,90,0.99,28,13.67,0.302,0.7,1.07,0.1
Fish,15040,0,0,0,0,77,83.3,0,0,0,4.124,23.03,36,0.299,46.8,0,0.112,64.16,4.79,2.735,2.615,11.59,74,0.118,1.41,41,303,419,115,1.27,36,13.14,0.348,0.7,1.37,0.1
Fish,15041,0,0,0,9.64,13,104.1,0,0,0,3.3,14.19,258,0.139,58.5,7.71,0.036,55.22,11.947,1.679,2.381,18,77,0.105,1.22,8,89,69,870,0.53,258,4.27,0.17,0,1.71,0.2
Fish,15042,0,0,0,0,82,95,0,0,0,4.402,24.58,40,0.319,52.6,0,0.126,59.7,5.112,2.919,2.791,12.37,84,0.135,1.51,46,325,447,918,1.36,40,18.7,0.413,1,1.54,0.1
Fish,15046,0,0,0,0,70,65,0,0,0,9.08,18.6,50,0.312,44.1,0,0.176,63.55,5.456,3.35,3.257,13.89,12,0.073,1.63,76,217,314,90,0.63,50,8.71,0.399,0.4,1.52,5
Fish,15048,0,0,0,0,79,85,0,0,0,6.18,23.19,130,0.212,37.7,0,0.04,69.17,2.225,1.651,1.857,6.3,241,0.147,2.04,37,301,194,379,1.02,130,6.94,0.21,0.9,1.03,0.1
Fish,15050,0,0,0,0,47,66.9,0,0,0,8.32,20.07,19,0.421,36.5,0,0.111,70.15,2.629,1.94,2.247,7.89,23,0.093,1.16,28,125,406,86,0.67,19,4.4,0.33,2,1,0.1
Fish,15055,0,0,0,0,49,70.2,0,0,0,5.2,19.35,37,0.08,36.5,0,0.09,77.01,1.078,0.715,1.116,3.79,41,0.051,1.02,29,221,357,65,0.52,37,0.22,0.425,1.2,1,0.1
Fish,15057,0,0,0,0,52,65,0,0,0,1.005,15.31,12,0.048,28.6,0,0.04,83.07,0.475,0.304,0.273,1.54,28,0.021,0.22,23,248,187,75,0.29,12,1.5,0.073,0,0.76,0.1
Fish,15060,0,0,0,0,90,65,0,0,0,1.52,19.39,9,0.1,12.6,0,0.07,79.13,0.152,0.368,0.185,0.92,80,0.15,0.9,30,200,269,62,1.11,9,1.9,0.12,1.7,0.2,0.1
Fish,15062,0,0,0,0,39,65,0,0,0,2.3,19.26,21,0.063,12.6,0,0.058,78.92,0.157,0.202,0.118,0.69,57,0.051,0.55,31,220,259,39,0.67,21,2,0.117,3.8,0.2,0.1
Fish,15066,0,0,0,0,46,65,0,0,0,0.653,12.3,3,0.08,15.9,0,0.03,86.7,0.073,0.182,0.128,0.41,15,0.031,0.22,16,284,160,159,0.31,3,1.63,0.069,0,0.49,0
Fish,15068,0,0,0,0,50,51.5,0,0,0,3,18.48,40,0.12,36.5,0,0.56,71.12,2.586,1.137,3.509,9.47,22,0.038,0.6,27,195,381,65,0.72,40,1.3,0.2,0,0.18,0.1
Fish,15072,0,0,0,1.5,374,335.4,0,214,0,1.8,22.32,90,0.74,40.3,0,0.24,67.73,1.661,2.656,1.456,6.42,22,0.1,0.6,20,402,221,91,1,90,10,0.16,16,7,0.2
Fish,15077,0,0,0,0,23,89,0,0,0,4.72,18.28,26,0.101,32.4,0,0.023,72,2.023,0.995,0.929,4.32,11,0.23,0.85,18,164,175,672,0.31,26,3.26,0.278,0,1.35,0.1
Fish,15080,0,0,0,0,39,85,0,0,0,7,21.43,18,0.16,43.3,0,0.02,70.77,1.919,1.517,1.486,5.5,249,0.1,0.7,30,354,300,391,1,18,4.4,0.38,0,1.6,0.1
Fish,15083,0,0,0,0,46,94.6,0,0,0,7.995,20.5,35,0.105,31.4,0,0.08,75.52,1.348,0.811,0.81,4.4,7,0.063,0.38,27,261,366,75,0.39,35,4.15,0.611,0,0.4,0.4
Fish,15084,0,0,0,0,55,87.8,0,0,0,6.536,19.68,17,0.186,33.2,0,0.023,74.04,1.205,1.42,0.862,4.97,215,0.069,0.64,30,337,344,403,0.76,17,4.4,0.3,0,0.64,0.5
Fish,15085,0,0,0,0,51,94.6,0,0,0,8.507,22.25,49,0.207,29.8,0,0.132,72.54,1.371,1.115,0.814,4.69,9,0.064,0.43,30,257,367,78,0.46,49,4.69,0.731,0,0.83,0.1
Fish,15087,0,0,0,0,79,82.6,0,0,0,7.621,23.59,55,0.212,34.3,0,0.032,68.07,2.494,1.783,1.44,7.39,232,0.072,0.65,31,338,314,408,0.84,55,5.5,0.119,0,2.07,0.1
Fish,15088,0,0,0,0,142,75,0,0,0,5.245,24.62,32,0.227,52.7,0,0.08,59.61,3.869,5.148,1.528,11.45,382,0.186,2.92,39,490,397,307,1.31,32,8.94,0.167,0,2.04,2.6
Fish,15089,0,26,0,0.54,61,76,0.1,2,1398,4.2,20.86,32,0.233,40.6,0.43,0.044,66.86,4.818,2.111,2.684,10.45,240,0.272,2.3,34,366,341,414,1.4,34,9,0.123,1,1.38,0.4
Fish,15090,0,0,0,0,52,65,0,0,0,4.1,18.88,27,0.1,36.5,0,0.11,75.37,0.56,1.03,0.64,2.73,40,0.051,0.53,23,185,287,42,0.48,27,1.4,0.3,0,0.5,0.1
Fish,15091,0,0,0,0,41,60.8,0,0,0,1.6,18.43,46,0.12,36.5,0,0.11,78.27,0.424,0.743,0.511,2,10,0.019,0.29,41,194,256,68,0.4,46,0.3,0.4,0,0.84,0.1
Fish,15095,0,0,0,0,51,65,0,0,0,2.938,20.98,70,0.062,36.5,0,0.042,73.58,1.808,1.195,0.925,4.51,34,0.033,0.84,49,210,160,79,0.43,70,1.49,0.4,0,1,0.1
Fish,15101,0,0,0,0,37,65,0,0,0,0.284,20.51,32,0.003,38.2,0,0.046,76.87,0.251,0.459,0.285,1.34,32,0.028,0.18,32,198,417,64,0.36,32,3,0.4,1.6,0.96,0.1
Fish,15104,0,0,0,0,60,56,0,0,0,8.3,16.14,210,0.07,12.6,0,0.07,76.55,1.939,0.69,0.915,4.04,13,0.041,0.7,35,211,284,54,0.42,210,2.2,0.2,0,0.5,0.1
Fish,15106,0,0,0,0,80,87.3,0,0,0,11.1,31.2,280,0.09,20.1,0,0.09,62.5,2.356,0.436,1.037,4.4,17,0.05,0.93,47,281,379,739,0.56,280,2.9,0.27,0,0.5,0.1
